angleChange,distanceChange,xChange,yChange,zChange
7.05264e-05,0.0771164,-0.0624447,-0.0429609,0.0142109
6.58987e-05,0.0792074,-0.0623512,-0.0464297,0.0151797
6.19892e-05,0.0812553,-0.062212,-0.0497578,0.0160078
5.89321e-05,0.0832395,-0.0620232,-0.0529453,0.0166953
5.68832e-05,0.0851484,-0.0617886,-0.0559922,0.0172422
5.59673e-05,0.0869698,-0.0615082,-0.0588984,0.0176484
5.61851e-05,0.0886926,-0.0611801,-0.0616641,0.0179141
5.73335e-05,0.0903087,-0.0608044,-0.064289,0.018039
5.89983e-05,0.091813,-0.0603828,-0.0667735,0.0180234
6.06326e-05,0.0931991,-0.0599136,-0.0691172,0.0178672
6.16859e-05,0.0944643,-0.0593987,-0.0713204,0.0175703
6.17318e-05,0.0956046,-0.058836,-0.0733827,0.0171328
6.05544e-05,0.0966193,-0.0582275,-0.0753046,0.0165547
5.81735e-05,0.0975053,-0.0575695,-0.077086,0.0158359
5.48098e-05,0.0982654,-0.0568676,-0.0787266,0.0149766
5.08122e-05,0.0988974,-0.0561161,-0.0802267,0.0139765
4.65743e-05,0.099405,-0.0553207,-0.0815856,0.0128359
4.24652e-05,0.0997896,-0.0544777,-0.0828048,0.0115547
3.87863e-05,0.100052,-0.0535851,-0.0838828,0.0101328
3.57503e-05,0.100199,-0.0526485,-0.0848203,0.00857025
3.34783e-05,0.100233,-0.0516644,-0.0856173,0.0068672
3.20061e-05,0.10016,-0.0506325,-0.0862733,0.00502348
3.13013e-05,0.0999864,-0.0495548,-0.0867891,0.00303906
3.12853e-05,0.0997187,-0.0484295,-0.087164,0.000914067
3.18603e-05,0.0993662,-0.0472584,-0.0873983,-0.00135157
3.29301e-05,0.0989367,-0.0460377,-0.0874922,-0.0037578
3.44141e-05,0.0984442,-0.044775,-0.0874455,-0.00630468
3.62517e-05,0.0978961,-0.0434608,-0.0872579,-0.00899225
3.84015e-05,0.0973085,-0.0421009,-0.0869296,-0.0118203
4.08377e-05,0.0966967,-0.0406952,-0.0864606,-0.014789
4.35459e-05,0.0960772,-0.0392418,-0.0858519,-0.0178985
4.6519e-05,0.0954673,-0.0377426,-0.0851014,-0.0211484
4.97536e-05,0.0948887,-0.0361958,-0.0842113,-0.0245392
5.32451e-05,0.094361,-0.0346012,-0.0831795,-0.0280702
5.69849e-05,0.0939108,-0.0329609,-0.0820076,-0.0317421
6.09561e-05,0.0935624,-0.0312729,-0.0806956,-0.0355549
6.51288e-05,0.0933417,-0.0295391,-0.0792418,-0.0395077
6.94561e-05,0.0932788,-0.0277576,-0.0776489,-0.0436015
7.38697e-05,0.0934001,-0.0259304,-0.0759139,-0.0478359
8.43973e-05,0.0634186,-0.0161152,-0.05,-0.0355278
8.24546e-05,0.0656539,-0.0150318,-0.05,-0.0398056
7.72229e-05,0.0680008,-0.013979,-0.0500002,-0.0439167
7.11949e-05,0.0704156,-0.012949,-0.05,-0.0478611
6.52106e-05,0.0728651,-0.0119476,-0.05,-0.0516389
5.95493e-05,0.0753196,-0.0109768,-0.05,-0.05525
5.42965e-05,0.0777543,-0.0100346,-0.05,-0.0586945
4.94658e-05,0.0801478,-0.00911522,-0.0500002,-0.0619723
4.50431e-05,0.0824832,-0.00822449,-0.05,-0.0650833
4.10013e-05,0.0847469,-0.00736618,-0.05,-0.0680278
3.73083e-05,0.0869258,-0.00653267,-0.05,-0.0708055
3.39306e-05,0.0890102,-0.00572777,-0.05,-0.0734167
3.08361e-05,0.0909913,-0.00494957,-0.0500002,-0.0758611
2.79941e-05,0.0928617,-0.00419807,-0.05,-0.0781388
2.53775e-05,0.0946158,-0.0034771,-0.05,-0.08025
2.29625e-05,0.0962481,-0.00278282,-0.0500002,-0.0821945
2.07283e-05,0.0977536,-0.00211525,-0.0499997,-0.0839722
1.86575e-05,0.0991297,-0.00147629,-0.0500002,-0.0855833
1.67358e-05,0.100372,-0.000867844,-0.05,-0.0870277
1.49524e-05,0.101479,-0.000282288,-0.05,-0.0883057
1.32999e-05,0.102447,0.000274658,-0.0500002,-0.0894166
1.17751e-05,0.103275,0.000801086,-0.0499997,-0.0903611
